Stasis,sta·sis,noun,But today’s incentives favour stasis. Many big firms thrive because of government and regulation.,A period or state of inactivity or equilibrium,"inaction, inactiveness, inertness","<a href=""http://www.economist.com/news/business/21712165-1942-joseph-schumpeter-warned-capitalism-might-not-survive-surge-populism-means-it"" target=""_blank"">""Our Schumpeter columnist pens a dark farewell"" published in <i>The Economist</i></a>",— Sep 18th 2017 —,[sound:stasis.mp3]
Feckless,feck·less,adjective,The president is far from being the feckless wuss portrayed by his critics.,Lacking initiative or strength of character,"useless, irresponsible, incompetent","<a href=""http://www.economist.com/news/books-and-arts/21702733-new-book-argues-barack-obamas-grand-strategy-has-made-america-stronger-both-home"" target=""_blank"">""Playing it long"" published in <i>The Economist</i></a>",— Sep 17th 2017 —,[sound:feckless.mp3]
Squelch,squelch,verb,The squelching of the recall referendum is a signal that the regime has made a decision about how to deal with the crisis.,Forcefully silence or suppress,"quell, quash, subdue","<a href=""http://www.economist.com/news/americas/21709364-lurch-towards-dictatorship-massive-protests-and-no-sign-regime-change-fighting-their"" target=""_blank"">""Fighting their chains"" published in <i>The Economist</i></a>",— Sep 16th 2017 —,[sound:squelch.mp3]
Parry,par·ry,verb,"In the course of his business career, the president-elect has shown a remarkable ability to dodge and parry and reverse himself on everything...",Answer (a question or accusation) evasively,"evade, sidestep, avoid","<a href=""http://www.economist.com/blogs/democracyinamerica/2016/11/nominator-chief"" target=""_blank"">""How the Supreme Court will change under President Trump"" published in <i>The Economist</i></a>",— Sep 15th 2017 —,[sound:parry.mp3]
Efface,ef·face,verb,The euro crisis has recreated a rift between a Germanic north and a Latin south that decades of integration tried to efface,Cause (a memory or emotion) to disappear completely,erase,"<a href=""http://www.economist.com/news/europe/21607853-some-swiss-lessons-euro-zone-hail-helvetia"" target=""_blank"">""Hail Helvetia"" published in <i>The Economist</i></a>",— Sep 14th 2017 —,[sound:efface.mp3]
Furtive,fur·tive,adjective,"Alternatively, it is a soap opera in which everything is reduced to petty spite and furtive liaisons.","Attempting to avoid notice or attention, typically because of guilt","secretive, sly, sneaky","<a href=""http://www.economist.com/news/books-and-arts/21708209-creative-tensions"" target=""_blank"">""Creative tensions"" published in <i>The Economist</i></a>",— Sep 13th 2017 —,[sound:furtive.mp3]
Stipple,stip·ple,verb,"It is a stippled, shifting field of striped grey composed entirely of tight graphite lines and white paint.",Mark (a surface) with numerous small dots or specks,"dot, spot, fleck","<a href=""http://www.economist.com/blogs/prospero/2015/06/agnes-martin-tate-modern"" target=""_blank"">""Sublime simplicity"" published in <i>The Economist</i></a>",— Sep 12th 2017 —,[sound:stipple.mp3]
Presage,pre·sage,verb,"Stock markets are set to open down today, and the election could presage a longer slump if investors feel that the uncertainty generated... will harm growth and corporate profits.","Be a sign or warning of (an imminent event, typically an unwelcome one)","point to, mean, signify","<a href=""http://www.economist.com/blogs/freeexchange/2016/11/global-economy"" target=""_blank"">""The economic consequences of Donald Trump"" published in <i>The Economist</i></a>",— Sep 11th 2017 —,[sound:presage.mp3]
Raconteur,ra·con·teur,noun,The latest continental raconteur eager to spin Ireland’s tale is the European Union.,A person who tells anecdotes in a skillful and amusing way,"storyteller, spinner of yarns","<a href=""http://www.economist.com/news/europe/21631127-ireland-good-news-story-not-quite-way-eu-would-emerald-shines-again"" target=""_blank"">""The emerald shines again"" published in <i>The Economist</i></a>",— Sep 10th 2017 —,[sound:raconteur.mp3]
Querulous,quer·u·lous,adjective,"Their querulous, hostile or annoyed faces recur in her work from the late 1950s.",Complaining in a petulant or whining manner,"pettish, touchy, testy","<a href=""http://www.economist.com/news/books-and-arts/21702431-new-show-met-traces-short-hard-life-visual-master-exposed"" target=""_blank"">""Exposed"" published in <i>The Economist</i></a>",— Sep 9th 2017 —,[sound:querulous.mp3]
Strident,stri·dent,adjective,"During the Obama administration, Texas and Oklahoma were strident advocates for state sovereignty.","Presenting a point of view, especially a controversial one, in an excessively forceful way",,"<a href=""http://www.economist.com/news/united-states/21715039-americas-most-progressive-state-set-lead-new-fight-against-federal"" target=""_blank"">""Democrats are learning to invoke states’ rights"" published in <i>The Economist</i></a>",— Sep 8th 2017 —,[sound:strident.mp3]
Posit,pos·it,verb,Mr Ansar and his co-authors assume this margin is 40%: they posit a ratio of expected benefits to costs of 1.4 for every project.,Put forward as fact or as a basis for argument,"postulate, propound, submit","<a href=""http://www.economist.com/news/china/21714381-some-critics-may-be-wrong-opinion-divided-chinas-massive-infrastructure-projects"" target=""_blank"">""Opinion is divided on China’s massive infrastructure projects"" published in <i>The Economist</i></a>",— Sep 7th 2017 —,[sound:posit.mp3]
Skiff,skiff,noun,He is charged with masterminding an attack by two suicide-bombers who steered an explosives-laden skiff...,"A light rowing boat or sculling boat, typically for one person",,"<a href=""http://www.economist.com/news/international/21714366-abd-al-rahim-al-nashiri-was-tortured-cia-secret-black-sites-guant-namo"" target=""_blank"">""In Guantánamo, an alleged al-Qaeda killer awaits trial"" published in <i>The Economist</i></a>",— Sep 6th 2017 —,[sound:skiff.mp3]
Acumen,a·cu·men,noun,"Literary critics admire his summer reading selections, musicians his playlists, scientists and tech entrepreneurs his acumen and curiosity.","The ability to make good judgments and quick decisions, typically in a particular domain","astuteness, awareness, acuity","<a href=""http://www.economist.com/news/christmas-specials/21712062-barack-obamas-presidency-lurched-between-idealism-and-acrimony-some-his"" target=""_blank"">""A reflection on Barack Obama’s presidency"" published in <i>The Economist</i></a>",— Sep 5th 2017 —,[sound:acumen.mp3]
Natty,nat·ty,adjective,"The British Museum, the National Gallery and the Wallace Collection have all flirted with natty continental leaders...",(of a person or an article of clothing) smart and fashionable,"stylish, dapper, debonair","<a href=""http://www.economist.com/news/britain/21714890-maria-balshaw-and-tristram-hunt-must-find-way-reach-beyond-london"" target=""_blank"">""Two new museum heads herald a generational shift in advocates for the arts in Britain"" published in <i>The Economist</i></a>",— Sep 4th 2017 —,[sound:natty.mp3]
